Regn_Prefix;Old_Prefix;Country_Name;Period;Remarks
ZK-;;New Zealand;1929-;
ZL-;;New Zealand;;
ZP-;;Paraguay;1929-;
ZS-;;South Africa;1929-;
ZT-;;South Africa;;
ZU-;;South Africa;;
2-;;Guernsey;2013-;
3A-;CZ, MC;Monaco;1959-;
3B-;VQ-M;Mauritius;1968-;
3C-;VQ-ZI;Equatorial Guinea;1975-;
3D-;;Swaziland;1975-;
3X-;F-O;Guinea;1958-;
4K-;;Azerbaijan;;
4L-;;Georgia;;
4O-;;Montenegro;2008-;
4R-;VP-C, CY-;Sri Lanka;1954-;
4X-;;Israel;1948;
5A-;;Libya;1951-;
5B-;VQ-C;Cyprus;1960-;
5H-;VP-Z;Tanzania;1964-;
5N-;VR-N;Nigeria;1961-;
5R-;F-O;Madagascar;1960-;
5T-;F-O;Mauritania;1960-;
5U-;F-O;Niger;1960-;
5V-;;Togo;1976-;
5W-;;Samoa;1962-;
5X-;VP-U;Uganda;1962-;
5Y-;VP-K;Kenya;1963-;
6O-;6OS-;Somalia;1969-;
6V-;F-O;Senegal;1960-;
6W-;;Senegal;1960-;(Military)
6Y-;VP-J;Jamaica;1964-;
7O-;YE-, 4W-;Yemen;1974-;
7P-;VQ-ZA,-ZD;Lesotho;1967-;
7Q-;VP-Y;Malawi;1964-;
7T-;F-O;Algeria;1962-;
8P-;VQ-B;Barbados;1968-;
8Q-;;Maldives;1976-;
8R-;VP-G;Guyana;1967-;
9A-;RC-;Croatia;;
9G-;VP-A;Ghana;1957-;
9H-;VP-M;Malta;1968-;
9J-;VP-Y;Zambia;1964-;
9K-;K-;Kuwait;1961-;
9L-;VR-L;Sierra Leone;1961;
9M-;VR-J, VR-O, VR-R;Malaysia;1963-;
9N-;;Nepal;1961-;
9Q-;9O-;Zaire;1966-;
9U-;BR-;Burundi;1962-;
9V-;VR-S;Singapore;1970-;
9XR-;;Rwanda;1962;
9Y-;VP-T;Trinidad and Tobago;1965-;
